#START7777
# STN_ID LON LAT STN_SP HT STN_AD STN_KO FCT_ID LAW_ID
  90 128.56472000 38.25085000 000----- 18.06 90 속초 11D20401 4282033035
 100 129.32000000 36.03200000 000----- 50.00 100 대관령 11D20501 5176038000
 101 127.73500000 37.90200000 000----- 76.80 101 춘천 11D10101 5111010100
 104 128.89000000 37.75000000 000----- 30.00 104 북강릉 11D20502 5115010100
 108 126.96580000 37.57140000 000----- 85.50 108 서울 11B10101 1114055000
 112 129.03200000 35.10400000 000----- 69.20 112 인천 11B20201 2817710500
 119 127.44000000 36.37000000 000----- 66.50 119 수원 11B20601 4111313700
 131 129.38000000 35.58000000 000----- 34.00 131 청주 11C10301 4311110100
 133 129.03000000 35.10000000 000----- 15.00 133 대전 11C20401 3017010100
 143 128.65000000 35.88000000 000----- 57.00 143 대구 11H10701 2714010100
 146 126.89000000 35.17000000 000----- 72.00 146 전주 11F10201 5211110100
 156 126.38000000 34.81000000 000----- 38.00 156 광주 11F20501 2917010100
 159 129.03000000 35.10000000 000----- 69.00 159 부산 11H20201 2611010100
 165 126.90000000 33.51000000 000----- 20.00 165 제주 12A00101 5011010100
 192 127.12000000 37.27000000 000----- 45.00 192 진주 11H20301 4817010100
 201 128.20000000 36.55000000 000----- 140.00 201 강화 11B20101 2871031025
 212 128.45000000 37.18000000 000----- 180.00 212 홍천 11D10301 5172035021
 216 128.70000000 37.50000000 000----- 200.00 216 태백 11D10401 5119010100
 221 127.95000000 37.35000000 000----- 150.00 221 제천 11C10201 4315010100
 226 128.10000000 36.80000000 000----- 110.00 226 보은 11C10101 4372025033
 232 126.45000000 36.80000000 000----- 25.00 232 천안 11C20301 4413110100
 235 126.70000000 36.10000000 000----- 30.00 235 보령 11C20101 4418010100
 236 127.00000000 36.78000000 000----- 40.00 236 부여 11C20201 4476031025
 238 126.45000000 36.35000000 000----- 20.00 238 금산 11C20501 4471025025
 243 126.70000000 35.95000000 000----- 35.00 243 부안 11F10401 5280025025
 244 126.70000000 35.60000000 000----- 40.00 244 임실 11F10301 5275025021
 245 127.20000000 35.40000000 000----- 50.00 245 정읍 11F10501 5218010100
 247 126.90000000 35.00000000 000----- 30.00 247 남원 11F10601 5219010100
 248 127.50000000 35.20000000 000----- 80.00 248 장수 11F10701 5274025021
 251 126.60000000 34.70000000 000----- 25.00 251 고흥 11F20401 4677025025
 252 126.50000000 34.90000000 000----- 20.00 252 영광 11F20301 4687025021
 253 126.90000000 34.60000000 000----- 15.00 253 김천 11H10301 4715010100
 254 128.10000000 35.20000000 000----- 60.00 254 순천 11F20101 4615010100
 255 127.70000000 34.90000000 000----- 40.00 255 북창원 11H20101 4812110100
 256 128.60000000 35.20000000 000----- 50.00 256 주암 11F20201 4615034025
 257 128.00000000 34.80000000 000----- 30.00 257 양산 11H20401 4833010100
 258 128.40000000 35.50000000 000----- 70.00 258 밀양 11H20501 4827010100
 259 128.80000000 35.20000000 000----- 45.00 259 거제 11H20601 4831010100
 260 129.20000000 35.50000000 000----- 55.00 260 산청 11H20701 4886025021
 261 128.90000000 35.80000000 000----- 90.00 261 거창 11H20801 4888025021
 262 129.10000000 36.10000000 000----- 100.00 262 합천 11H20901 4889025021
 263 129.40000000 36.50000000 000----- 80.00 263 울진 11H10501 4793025021
 264 130.90000000 37.50000000 000----- 200.00 264 울릉도 11H10601 4794010100
 271 128.60000000 36.00000000 000----- 120.00 271 의성 11H10101 4773025021
 272 128.30000000 36.60000000 000----- 150.00 272 영주 11H10201 4721010100
 273 129.00000000 36.80000000 000----- 200.00 273 문경 11H10401 4728010100
 277 127.50000000 36.60000000 000----- 90.00 277 영덕 11H10801 4777025021
 278 129.40000000 36.00000000 000----- 70.00 278 의천 11H10901 4729010100
 279 128.70000000 35.60000000 000----- 60.00 279 구미 11H11001 4719010100
 281 129.00000000 35.80000000 000----- 80.00 281 영천 11H11101 4723010100
#7777END
