#START7777
#--------------------------------------------------------------------------------------------------
# STN_ID : 지점번호
#    LON : 경도(degree) / LAT : 위도(degree)
# STN_SP : 지점 특성코드
#          - 첫째자리 : 0(목측), 5(목측+레이저(L)), 6(레이저적설계(L))
#          - 둘째자리 : 0(기상관서), 1(외부)
#     HT : 노장 해발고도 (m)
# STN_CD : 지점코드
# STN_KO : 지점명(한글)
# STN_AD : 관리관서번호
# FCT_ID : 예보구역코드
# LAW_ID : 법정동코드
#--------------------------------------------------------------------------------------------------
# STN           LON           LAT STN_SP          HT STN STN_KO               FCT_ID   LAW_ID    
#  ID         degee        degree --------         m  AD -------------------- -------- ----------
   42  126.59722000   35.93638000 618           2.12 146 군산오식도           21F10501 5213014700
   43  126.41361000   34.71027000 618           1.07 165 솔라시도             11F20302 1279041030
   44  126.41194000   34.74444000 618           1.73 165 삼호                 21F20802 1280025328
   45  128.11805600   34.91888900 618          15.00 159 하이                 11H20404 4882033021
   90  128.56473000   38.25085000 608          17.53 105 속초                 11D20401 5182033035
   93  127.75443000   37.94738000 500          95.78 101 북춘천               11D10301 5111025024
   95  127.30420000   38.14787000 608         155.48 101 철원                 11D10101 5178025624
   98  127.06069000   37.90186000 608         112.50 109 동두천               11B20401 4125010300
   99  126.76649000   37.88588000 608          29.42 109 파주                 11B20305 4148025025
  100  128.71834000   37.67713000 608         772.43 105 대관령               11D20201 5176038024
  101  127.73570000   37.90262000 618          75.82 101 춘천                 11D10301 5111011800
  102  124.71241000   37.97396000 500          36.00 102 백령도               11A00101 2872033021
  104  128.85535000   37.80456000 500          75.24 105 북강릉               11D20501 5115036027
  105  128.89099000   37.75147000 618          27.12 105 강릉                 11D20501 5115010700
  106  129.12433000   37.50709000 608          40.46 105 동해                 11D20601 5117010400
  108  126.96579170   37.57141111 508          85.50 109 서울                 11B10101 1111017800
  112  126.62490000   37.47772000 500          68.99 112 인천                 11B20201 2812514400
  114  127.94659000   37.33749000 608         150.11 105 원주                 11D10401 5113010600
  115  130.89864000   37.48129000 500         222.80 115 울릉도               11E00101 4794025024
  116  126.96402000   37.44526000 618         624.82 109 관악(레)             11B10101 4129010700
  119  126.98300000   37.25746000 500          39.81 109 수원                 11B20601 4111312800
  121  128.45743000   37.18126000 608         240.54 105 영월                 11D10501 5175025022
  127  127.95266000   36.97038000 608         115.12 131 충주                 11C10101 4313012200
  129  126.49391000   36.77661000 608          28.91 177 서산                 11C20101 4421010600
  130  129.41278000   36.99176000 608          50.00 136 울진                 11H10101 4793025023
  131  127.44066000   36.63924000 500          57.16 131 청주                 11C10301 4311311400
  133  127.37211000   36.37198000 500          70.22 133 대전                 11C20401 3020012400
  135  127.99457000   36.22023000 608         246.00 131 추풍령               11C10401 4374033521
  136  128.70733000   36.57293000 500         141.26 136 안동                 11H10501 4717012900
  137  128.15743000   36.40838000 608          96.17 143 상주                 11H10302 4725011000
  138  129.38002000   36.03201000 500           3.94 138 포항                 11H10201 4711110400
  140  126.76135000   36.00530000 608          23.20 146 군산                 21F10501 5213013800
  143  128.65296000   35.87797000 500          54.27 143 대구                 11H10701 2714010300
  146  127.11900000   35.84080000 500          61.40 146 전주                 11F10201 5211310600
  152  129.33472220   35.58250000 500          83.20 152 울산                 11H20101 3111011700
  155  128.57285000   35.17020000 500          37.60 155 창원                 11H20301 4812510100
  156  126.89158000   35.17294000 500          72.38 156 광주                 11F20501 1230010900
  159  129.03203000   35.10468000 500          69.56 159 부산                 11H20201 2611011600
  160  128.99996000   35.11881000 618         518.46 159 부산(레)             11H20201 2614010600
  162  128.43560000   34.84546000 608          32.67 159 통영                 11H20401 4822010900
  165  126.38151000   34.81732000 500          44.70 165 목포                 21F20801 1211010300
  168  127.74064000   34.73929000 500          64.64 168 여수                 11F20401 1213010500
  169  125.45103000   34.68719000 500          76.49 169 흑산도               11F20701 1287036022
  170  126.70182000   34.39590000 608          35.37 165 완도                 11F20301 1285031022
  172  126.59900000   35.34895000 608          52.00 146 고창                 21F10601 5279038025
  174  127.36940000   35.02040000 608         165.00 156 순천                 11F20603 1215025025
  175  126.32380000   34.47211000 618         478.51 165 진도(레)             21F20201 1286033021
  177  126.68772000   36.65759000 500          27.74 177 홍성                 11C20104 4480025625
  181  127.38458000   36.63994000 618          33.55 131 서청주               11C10301 4311331035
  184  126.52969000   33.51411000 500          20.79 184 제주                 11G00201 5011010700
  185  126.16283000   33.29382000 608          74.29 184 고산                 11G00500 5011031023
  188  126.88021000   33.38678000 608          17.75 184 성산                 11G00100 5013025927
