#START7777
#--------------------------------------------------------------------------------------------------
#  WD1    : 1분 평균 풍향 (degree) : 0-N, 90-E, 180-S, 270-W, 360-무풍 
#  WS1    : 1분 평균 풍속 (m/s) 
#  WDS    : 최대 순간 풍향 (degree) 
#  WSS    : 최대 순간 풍속 (m/s) 
#  WD10   : 10분 평균 풍향 (degree) 
#  WS10   : 10분 평균 풍속 (m/s) 
#  TA     : 1분 평균 기온 (C) 
#  RE     : 강수감지 (0-무강수, 1-강수, 음수인 경우 null값)  
#  RN-15m : 15분 누적 강수량 (mm) 
#  RN-60m : 60분 누적 강수량 (mm) 
#  RN-12H : 12시간 누적 강수량 (mm) 
#  RN-DAY : 일 누적 강수량 (mm) 
#  HM     : 1분 평균 상대습도 (%) 
#  PA     : 1분 평균 현지기압 (hPa) 
#  PS     : 1분 평균 해면기압 (hPa) 
#  TD     : 이슬점온도 (C) 
#  *) -50 이하면 관측이 없거나, 에러처리된 것을 표시 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202608131200    42   41.0    3.6   42.4    4.0   14.1    2.8   29.7  -99.9    0.0    0.0    0.0    0.0   58.8 1003.0 1005.9   20.8
202608131200    43  122.1    3.0  113.7    4.1  125.3    1.9   32.4  -99.9    0.0    0.0    0.0    0.0   51.6 1002.1 1004.9   21.2
202608131200    44  178.4    2.4  168.2    2.9  166.6    2.0   31.3  -99.9    0.0    0.0    0.0    0.0   47.4 1002.4 1005.3   18.8
202608131200    45  176.0    3.2  184.1    4.2  174.8    3.1   30.3  -99.9    0.0    0.0    0.0    0.0   57.3 1000.3 1002.0   20.9
202608131200    90  348.0    1.8   26.0    3.1  319.1    2.3   23.4  -99.9    0.0    0.1    9.0    9.0   88.8 1004.0 1006.0   21.4
202608131200    92  350.0    4.9   10.0    6.9  350.0    5.2   22.8  -99.9    0.0    0.3    5.1    5.1   98.0  998.0 1005.6   22.5
202608131200    93  127.0    1.5  123.8    2.2  127.8    1.8   26.7  -99.9    0.0    0.0    0.0    0.0   72.7  994.4 1005.2   21.4
202608131200    95  227.5    2.1  239.1    3.5  172.4    1.8   27.7  -99.9    0.0    0.0    0.0    0.0   64.8  987.9 1005.3   20.5
202608131200    96  129.3    2.1  150.0    3.2  124.8    2.4   26.5  -99.9    0.0    0.0    2.0    2.0   85.6  991.1 1002.2   23.9
202608131200    98  256.5    0.7  270.2    1.2  339.8    1.2   30.3  -99.9    0.0    0.0    0.0    0.0   47.0  991.6 1004.4   17.7
202608131200    99   95.8    3.3   98.5    4.0   92.9    2.8   28.1  -99.9    0.0    0.0    0.0    0.0   61.2 1002.0 1005.4   19.9
202608131200   100   13.9    2.0   11.1    3.2   22.9    2.5   20.2  -99.9    0.0    0.3   15.9   15.9   93.0  919.8 1005.0   19.0
202608131200   101   56.0    1.4   53.7    2.0   34.0    1.9   27.1  -99.9    0.0    0.0    0.0    0.0   65.9  995.6 1004.1   20.2
202608131200   102  322.7    3.6  320.8    5.0  332.4    3.6   28.0  -99.9    0.0    0.0    0.0    0.0   54.2 1000.9 1005.0   17.9
202608131200   104  305.6    2.8  302.9    3.9  288.6    2.7   23.7  -99.9    0.0    0.0   16.1   16.1   94.3  995.5 1004.1   22.7
202608131200   105  318.6    4.6  336.1    6.8  340.8    4.7   23.8  -99.9    0.0    0.0    6.7    6.7   87.2 1002.2 1005.3   21.5
202608131200   106  341.0    2.0   13.0    3.2  338.9    4.7   25.9  -99.9    0.0    0.0    3.1    3.1   79.7 1000.0 1004.6   22.1
202608131200   108  323.1    3.1  285.8    4.4   65.0    2.6   31.0  -99.9    0.0    0.0    0.0    0.0   49.4  994.7 1004.2   19.2
202608131200   110  340.0    2.7   10.0    4.3   10.0    3.3   30.8  -99.9  -99.9  -99.9  -99.9  -99.2   54.0 1002.7 1004.7   20.4
202608131200   112   57.1    2.9   50.8    4.9   83.0    2.5   30.7  -99.9    0.0    0.0    0.0    0.0   53.5  996.6 1004.3   20.2
202608131200   113   50.0    5.7   70.0    7.1   30.0    5.9   29.6  -99.9    0.0    0.0    0.0    0.0   57.0 1004.1 1004.9   20.2
202608131200   114  129.7    0.2  135.0    0.6   63.6    1.2   26.9  -99.9    0.0    0.0    0.0    0.0   66.1  987.2 1004.0   20.0
202608131200   115  124.3    1.1   97.1    1.9   83.9    1.2   29.0  -99.9    0.0    0.0    1.0    1.0   78.2  977.1 1001.5   24.8
202608131200   116  267.0    0.0   85.0    0.2   31.5    0.2   26.5  -99.9    0.0    0.0    0.0    0.0   60.5  935.8 1003.7   18.2
202608131200   119   68.4    4.2   75.1    5.7   60.0    3.3   29.5  -99.9    0.0    0.0    0.0    0.0   53.1  999.4 1003.8   19.0
202608131200   121  158.6    0.7  156.8    0.8  191.6    0.7   25.0  -99.9    0.0    0.0    2.2    2.2   86.6  977.8 1004.8   22.6
202608131200   127    9.8    1.2    2.7    1.7  329.1    1.7   27.5  -99.9    0.0    0.0    0.0    0.0   66.1  990.6 1003.5   20.6
202608131200   129   29.8    0.5   58.6    2.7   50.9    2.3   30.3  -99.9    0.0    0.0    0.0    0.0   52.6 1001.6 1004.4   19.5
202608131200   130  253.7    3.1  230.5    6.7  188.2    4.2   28.6  -99.9    0.0    0.0    2.5    2.5   74.1  998.0 1003.5   23.5
202608131200   131   36.5    2.4   42.2    2.9  300.2    1.5   28.9  -99.9    0.0    0.0    0.0    0.0   57.8  997.1 1003.7   19.8
202608131200   133   93.4    1.5  113.0    2.3  125.8    1.4   29.0  -99.9    0.0    0.0    0.0    0.0   61.0  996.6 1004.2   20.7
202608131200   135  106.9    1.6  132.3    2.4  102.9    1.0   28.2  -99.9    0.0    0.0    0.0    0.0   62.5  976.0 1003.1   20.4
202608131200   136  278.0    2.1  290.0    2.4  294.8    1.3   28.1  -99.9    0.0    0.0    0.0    0.0   61.6  988.4 1004.2   20.0
202608131200   137  138.4    0.8  163.1    1.2  130.2    0.8   29.2  -99.9    0.0    0.0    0.0    0.0   58.6  992.0 1002.8   20.3
202608131200   138   37.5    4.1   53.2    5.0   56.1    3.8   29.3  -99.9    0.0    0.0    0.5    0.5   62.7 1002.4 1002.8   21.5
202608131200   140   63.7    1.7   43.9    2.6   32.2    1.8   29.1  -99.9    0.0    0.0    0.0    0.0   59.6 1001.8 1004.9   20.4
202608131200   143   27.4    0.7  341.7    0.7   68.7    0.8   30.3  -99.9    0.0    0.0    0.0    0.0   47.0  996.2 1002.2   17.7
